operon_id,promoter_start,promoter_end,gene_names,bin,operon_name,gene_list,bin_coverage,gene_start,gene_end,operon_start,operon_end,strand,operon_length,total_expression,normalized_expression
Rv0560c_up,651505,651854,Rv0560c,bin131,Rv0560c_up,['Rv0560c'],{131: 1.0},651504,650779,650779,651854,-,724,783,1.081491713
Rv0563_up,653529,653878,Rv0563,bin131,Rv0563_up,['Rv0563'],{131: 1.0},653879,654739,653529,654739,+,861,3063,3.557491289
Rv0569_up,660653,661002,Rv0569,bin133,Rv0569_up,['Rv0569'],{133: 1.0},661003,661269,660653,661269,+,267,2780,10.41198502
Rv0571c_up,664819,665168,Rv0571c,"bin133, bin134",Rv0571c_up,['Rv0571c'],"{133: 0.9001189060642093, 134: 0.09988109393579073}",664818,663487,663487,665168,-,1330,1383,1.039849624
Rv0576_up,669498,669847,"Rv0576,Rv0577","bin134, bin135",Rv0576_up,"['Rv0576', 'Rv0577']","{134: 0.2049714751426243, 135: 0.7950285248573757}",669848,671951,669498,671951,+,2104,6902.5,3.280655894
Rv0581_up,677360,677709,"Rv0581,Rv0582",bin136,Rv0581_up,"['Rv0581', 'Rv0582']",{136: 1.0},677710,678329,677360,678329,+,620,1306.5,2.107258065
Rv0586_up,684060,684409,"Rv0586,Rv0587,Rv0588,Rv0589,Rv0590,Rv0590A,Rv0591,Rv0592,Rv0593,Rv0594","bin137, bin138, bin139",Rv0586_up,"['Rv0586', 'Rv0587', 'Rv0588', 'Rv0589', 'Rv0590', 'Rv0590A', 'Rv0591', 'Rv0592', 'Rv0593', 'Rv0594']","{137: 0.08771439224459358, 138: 0.46607009694258017, 139: 0.44621551081282623}",684410,694787,684060,694787,+,10378,16814.5,1.620206205
Rv0596c_up,695486,695835,"Rv0595c,Rv0596c","bin139, bin140",Rv0596c_up,"['Rv0595c', 'Rv0596c']","{139: 0.1624874623871615, 140: 0.8375125376128385}",695485,694839,694839,695835,-,645,775,1.201550388
Rv0597c_up,696904,697253,Rv0597c,bin140,Rv0597c_up,['Rv0597c'],{140: 1.0},696903,695668,695668,697253,-,1234,8816,7.144246353
Rv0607_up,702463,702812,Rv0607,bin141,Rv0607_up,['Rv0607'],{141: 1.0},702813,703199,702463,703199,+,387,300,0.775193798
Rv0610c_up,705910,706259,Rv0610c,"bin141, bin142",Rv0610c_up,['Rv0610c'],"{141: 0.16511936339522545, 142: 0.8348806366047745}",705909,704752,704752,706259,-,1156,1431,1.237889273
Rv0621_up,713852,714201,Rv0621,"bin143, bin144",Rv0621_up,['Rv0621'],"{143: 0.8120141342756184, 144: 0.1879858657243816}",714202,715266,713852,715266,+,1065,409.5,0.384507042
Rv0623_up,716060,716409,"Rv0623,Rv0624",bin144,Rv0623_up,"['Rv0623', 'Rv0624']",{144: 1.0},716410,717059,716060,717059,+,650,1028,1.581538462
Rv0632c_up,729279,729628,Rv0632c,bin146,Rv0632c_up,['Rv0632c'],{146: 1.0},729278,728583,728583,729628,-,694,7221.5,10.4056196
Rv0633c_up,730167,730516,Rv0633c,"bin146, bin147",Rv0633c_up,['Rv0633c'],"{146: 0.5663865546218487, 147: 0.4336134453781513}",730166,729327,729327,730516,-,838,2046.5,2.442124105
Rv0642c_up,737204,737553,Rv0642c,bin148,Rv0642c_up,['Rv0642c'],{148: 1.0},737203,736298,736298,737553,-,904,11592,12.82300885
Rv0652_up,748499,748848,Rv0652,bin150,Rv0652_up,['Rv0652'],{150: 1.0},748849,749241,748499,749241,+,393,5754,14.64122137
Rv0664_up,758182,758531,"Rv0664,Rv0665,Rv0666",bin152,Rv0664_up,"['Rv0664', 'Rv0665', 'Rv0666']",{152: 1.0},758532,759309,758182,759309,+,778,466,0.598971722
Rv0667_up,759457,759806,Rv0667,"bin152, bin153",Rv0667_up,['Rv0667'],"{152: 0.14060480744378392, 153: 0.8593951925562161}",759807,763325,759457,763325,+,3519,179743.5,51.07800512
Rv0668_up,763020,763369,Rv0668,"bin153, bin154",Rv0668_up,['Rv0668'],"{153: 0.46059056033480583, 154: 0.5394094396651942}",763370,767320,763020,767320,+,3951,126998,32.14325487
Rv0672_up,771134,771483,"Rv0672,Rv0673,Rv0674,Rv0675","bin155, bin156",Rv0672_up,"['Rv0672', 'Rv0673', 'Rv0674', 'Rv0675']","{155: 0.8707498311191173, 156: 0.12925016888088267}",771484,775574,771134,775574,+,4091,14631.5,3.576509411
Rv0677c_up,778906,779255,"Rv0676c,Rv0677c",bin156,Rv0677c_up,"['Rv0676c', 'Rv0677c']",{156: 1.0},778905,775586,775586,779255,-,3318,152507.5,45.96368294
Rv0680c_up,780417,780766,"Rv0679c,Rv0680c","bin156, bin157",Rv0680c_up,"['Rv0679c', 'Rv0680c']","{156: 0.3741830065359477, 157: 0.6258169934640523}",780416,779543,779543,780766,-,872,8523,9.774082569
Rv0682_up,781210,781559,"Rv0682,Rv0683",bin157,Rv0682_up,"['Rv0682', 'Rv0683']",{157: 1.0},781560,782404,781210,782404,+,845,15995.5,18.9295858
Rv0686_up,785799,786148,Rv0686,bin158,Rv0686_up,['Rv0686'],{158: 1.0},786149,786946,785799,786946,+,798,4038,5.060150376
Rv0698_up,798483,798832,Rv0698,bin160,Rv0698_up,['Rv0698'],{160: 1.0},798833,799444,798483,799444,+,612,902.5,1.474673203
Rv0700_up,800137,800486,"Rv0700,Rv0701,Rv0702,Rv0703",bin161,Rv0700_up,"['Rv0700', 'Rv0701', 'Rv0702', 'Rv0703']",{161: 1.0},800487,802435,800137,802435,+,1949,107243,55.02462801
Rv0725c_up,818445,818794,"Rv0724A,Rv0725c",bin164,Rv0725c_up,"['Rv0724A', 'Rv0725c']",{164: 1.0},818444,817531,817531,818794,-,912,517,0.566885965
Rv0729_up,821157,821506,"Rv0729,Rv0730",bin165,Rv0729_up,"['Rv0729', 'Rv0730']",{165: 1.0},821507,823594,821157,823594,+,2088,4594,2.200191571
Rv0732_up,824450,824799,"Rv0732,Rv0733,Rv0734","bin165, bin166",Rv0732_up,"['Rv0732', 'Rv0733', 'Rv0734']","{165: 0.18238993710691823, 166: 0.8176100628930818}",824800,827470,824450,827470,+,2671,23093,8.645825534
Rv0739_up,830505,830854,Rv0739,bin167,Rv0739_up,['Rv0739'],{167: 1.0},830855,831661,830505,831661,+,807,469,0.581164808
Rv0741_up,832184,832533,Rv0741,bin167,Rv0741_up,['Rv0741'],{167: 1.0},832534,832848,832184,832848,+,315,2570,8.158730159
Rv0742_up,832631,832980,Rv0742,bin167,Rv0742_up,['Rv0742'],{167: 1.0},832981,833508,832631,833508,+,528,482,0.912878788
Rv0749_up,840878,841227,Rv0749,bin169,Rv0749_up,['Rv0749'],{169: 1.0},841228,841656,840878,841656,+,429,770,1.794871795
Rv0753c_up,845954,846303,"Rv0751c,Rv0752c,Rv0753c","bin169, bin170",Rv0753c_up,"['Rv0751c', 'Rv0752c', 'Rv0753c']","{169: 0.6707101339398535, 170: 0.3292898660601466}",845953,842347,842347,846303,-,3605,2899,0.804160888
Rv0767c_up,860711,861060,"Rv0762c,Rv0763c,Rv0764c,Rv0765c,Rv0766c,Rv0767c","bin172, bin173",Rv0767c_up,"['Rv0762c', 'Rv0763c', 'Rv0764c', 'Rv0765c', 'Rv0766c', 'Rv0767c']","{172: 0.793613707165109, 173: 0.20638629283489096}",860710,855925,855925,861060,-,4784,3418,0.714464883
